Name,Rating,href,attributes,Latitude,Longitude
Spice Lane Indian Chinese Restaurant and Caterers,4,https://www.google.com/maps/place/Spice+Lane+Indian+Chinese+Restaurant+and+Caterers/data=!4m7!3m6!1s0x390cef4feb311981:0xda856e7715ad18e9!8m2!3d28.6038885!4d77.433876!16s%2Fg%2F11f5_h17cy!19sChIJgRkx60_vDDkR6RitFXduhdo?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipPQfHiSLiDbzku2uAsM9Fr6Qk7pPvNSnCZ-eYP5=w163-h92-k-no,28.6038885,77.433876
Taste of greater noida,3.5,https://www.google.com/maps/place/Taste+of+greater+noida/data=!4m7!3m6!1s0x390cc1050ca43a87:0x26981254f6f1c87d!8m2!3d28.4414301!4d77.5261431!16s%2Fg%2F11p5n9y3qk!19sChIJhzqkDAXBDDkRfcjx9lQSmCY?authuser=0&hl=en&rclk=1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fb7mucJe8XHFC0dF0CdkxQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=49.374718&pitch=0&thumbfov=100,28.4414301,77.5261431
Kanha Restaurant,4.1,https://www.google.com/maps/place/Kanha+Restaurant/data=!4m7!3m6!1s0x390ceb47e2f9d683:0x7956418efe19a5f6!8m2!3d28.4775788!4d77.517186!16s%2Fg%2F11fspglpgl!19sChIJg9b54kfrDDkR9qUZ_o5BVnk?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipOe1PVZSo8dl77KTyOcSz38FwDr52uZE81TH0dr=w122-h92-k-no,28.4775788,77.517186
Kanha Restaurant,4.1,https://www.google.com/maps/place/Kanha+Restaurant/data=!4m7!3m6!1s0x390ceb47e2f9d683:0x7956418efe19a5f6!8m2!3d28.4775788!4d77.517186!16s%2Fg%2F11fspglpgl!19sChIJg9b54kfrDDkR9qUZ_o5BVnk?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipOe1PVZSo8dl77KTyOcSz38FwDr52uZE81TH0dr=w122-h92-k-no,28.4736963,77.5500776
Mommy Yummy Korean Restaurant & Cafe,4.7,https://www.google.com/maps/place/Mommy+Yummy+Korean+Restaurant+%26+Cafe/data=!4m7!3m6!1s0x390cebc20e004725:0x9ef4969cbb0b88ea!8m2!3d28.4665787!4d77.5203733!16s%2Fg%2F11fr_zvy_m!19sChIJJUcADsLrDDkR6ogLu5yW9J4?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipMRNYG-_P7ek2cpDZEVNQJbTO42g6jI7L9xxQ-U=w122-h92-k-no,28.4665787,77.5203733
Greater Noida Chinese Food And Restaurants,5,https://www.google.com/maps/place/Greater+Noida+Chinese+Food+And+Restaurants/data=!4m7!3m6!1s0x390cebce88bda5ab:0xcda01bafd75974f0!8m2!3d28.463481!4d77.5061915!16s%2Fg%2F11h75phkzx!19sChIJq6W9iM7rDDkR8HRZ168boM0?authuser=0&hl=en&rclk=1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mq4C-7Ucns6e0R97udq0wg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=282.33084&pitch=0&thumbfov=100,28.463481,77.5061915
Chaupal - Pure Veg Village Theme Restaurant,4.4,https://www.google.com/maps/place/Chaupal+-+Pure+Veg+Village+Theme+Restaurant/data=!4m7!3m6!1s0x390cefa72af0bd7b:0xfe1b11593782d1bb!8m2!3d28.5856243!4d77.4554214!16s%2Fg%2F11rcnnn001!19sChIJe73wKqfvDDkRu9GCN1kRG_4?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipNNgYUHSX2bWxOOTqQboAbRppkS4Zbx0L_qq3g=w122-h92-k-no,28.5856243,77.4554214
Saffron The Restaurant - Amritpuram,4,https://www.google.com/maps/place/Saffron+The+Restaurant+-+Amritpuram/data=!4m7!3m6!1s0x390ceb6750a57a21:0xb2e3cc815e65e666!8m2!3d28.4799486!4d77.5007344!16s%2Fg%2F11spdc5zcf!19sChIJIXqlUGfrDDkRZuZlXoHM47I?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipOgxMr3iGBOEeRLl0A-bHEBLXGIYp2UnBBEVehn=w80-h106-k-no,28.4799486,77.5007344
Anands restaurant,4,https://www.google.com/maps/place/Anands+restaurant/data=!4m7!3m6!1s0x390ceb3ada21b807:0x1938ca373eeb751d!8m2!3d28.4704758!4d77.5105119!16s%2Fg%2F11b7lmh84g!19sChIJB7gh2jrrDDkRHXXrPjfKOBk?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipPEcmd5TftRoU2KxeKXlPBAvxO1Rte5p7B5Od5A=w89-h92-k-no,28.4704758,77.5105119
Al-Safi Family Restaurant,4.6,https://www.google.com/maps/place/Al-Safi+Family+Restaurant/data=!4m7!3m6!1s0x390cc1590fe0055d:0x6796e6542e896a9!8m2!3d28.4656779!4d77.5379094!16s%2Fg%2F11mwtcrkgv!19sChIJXQXgD1nBDDkRqZboQmVueQY?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipNNf5IT-1U8_6a8XGalYBYoVt4ITOLNZY34ssnr=w80-h106-k-no,28.4656779,77.5379094
